Trial Type (Adjustment/2AFC),Displacement Type (Straight/Radial),Eccentric Object Azimuth (degrees),Eccentric Object Elevation (degrees),Eccentric Object Length (Unity units),Reference Object Azimuth (degrees),Reference Object Elevation (degrees),Reference Object Length (Unity units),Stimuli Distance from Camera (Unity units)
Adjustment,Straight,26.5,0,0.5,0,0,1,0.8
Adjustment,Straight,26.5,26.5,2,0,0,0.5,0.8
Adjustment,Straight,0,45,2,0,0,0.5,0.8
Adjustment,Straight,-26.5,45,2,0,0,0.5,0.8
Adjustment,Straight,-26.5,0,2,0,0,2,0.8
Adjustment,Straight,-26.5,-45,2,0,0,2,0.8
Adjustment,Straight,0,-45,2,0,0,2,0.8
2AFC,Straight,26.5,-45,2,0,0,2,0.8
2AFC,Straight,26.5,0,2,0,0,0.5,0.8
2AFC,Straight,26.5,45,2,0,0,0.5,0.8
2AFC,Straight,0,45,2,0,0,0.5,0.8
2AFC,Straight,-26.5,45,2,0,0,0.5,0.8
2AFC,Straight,-26.5,0,2,0,0,2,0.8
2AFC,Straight,-26.5,-45,2,0,0,2,0.8
2AFC,Straight,0,-45,2,0,0,2,0.8
2AFC,Straight,26.5,-45,2,0,0,2,0.8
Adjustment,Radial,26.5,0,2,0,0,0.5,0.8
Adjustment,Radial,26.5,45,2,0,0,0.5,0.8
Adjustment,Radial,0,45,2,0,0,0.5,0.8
Adjustment,Radial,-26.5,45,2,0,0,0.5,0.8
Adjustment,Radial,-26.5,0,2,0,0,2,0.8
Adjustment,Radial,-26.5,-45,2,0,0,2,0.8
Adjustment,Radial,0,-45,2,0,0,2,0.8
Adjustment,Radial,26.5,-45,2,0,0,2,0.8
